Title,Rating
1. 刺激1995,9.3 (2.8M)
2. 教父,9.2 (2M)
3. 黑暗騎士,9.0 (2.8M)
4. 教父2,9.0 (1.3M)
5. 十二怒漢,9.0 (837K)
6. 辛德勒的名單,9.0 (1.4M)
7. 魔戒三部曲：王者再臨,9.0 (1.9M)
8. 黑色追緝令,8.9 (2.2M)
9. 魔戒首部曲：魔戒現身,8.8 (2M)
10. 黃昏三鏢客,8.8 (792K)
11. 阿甘正傳,8.8 (2.2M)
12. 鬥陣俱樂部,8.8 (2.2M)
13. 魔戒二部曲：雙城奇謀,8.8 (1.7M)
14. 全面啟動,8.8 (2.5M)
15. 星際大戰五部曲：帝國大反擊,8.7 (1.3M)
16. 駭客任務,8.7 (2M)
17. 四海好傢伙,8.7 (1.2M)
18. 飛越杜鵑窩,8.7 (1M)
19. 火線追緝令,8.6 (1.7M)
20. 風雲人物,8.6 (481K)
21. 七武士,8.6 (359K)
22. 蜘蛛人：穿越新宇宙,8.7 (278K)
23. 星際效應,8.7 (2M)
24. 沉默的羔羊,8.6 (1.5M)
25. 搶救雷恩大兵,8.6 (1.5M)
26. 無法無天,8.6 (784K)
27. 美麗人生,8.6 (725K)
28. 綠色奇蹟,8.6 (1.4M)
29. 星際大戰,8.6 (1.4M)
30. 魔鬼終結者2,8.6 (1.1M)
31. 回到未來,8.5 (1.3M)
32. 神隱少女,8.6 (814K)
33. 戰地琴人,8.5 (882K)
34. 驚魂記,8.5 (702K)
35. 寄生上流,8.5 (895K)
36. 神鬼戰士,8.5 (1.6M)
37. 獅子王,8.5 (1.1M)
38. 終極追殺令,8.5 (1.2M)
39. 美國X檔案,8.5 (1.2M)
40. 神鬼無間,8.5 (1.4M)
41. 進擊的鼓手,8.5 (938K)
42. 頂尖對決,8.5 (1.4M)
43. 刺激驚爆點,8.5 (1.1M)
44. 螢火蟲之墓,8.5 (297K)
45. 切腹,8.6 (64K)
46. 北非諜影,8.5 (594K)
47. 奧本海默,8.5 (464K)
48. 逆轉人生,8.5 (902K)
49. 摩登時代,8.5 (253K)
50. 新天堂樂園,8.5 (275K)
51. 狂沙十萬里,8.5 (343K)
52. 後窗,8.5 (511K)
53. 異形,8.5 (923K)
54. 城市之光,8.5 (192K)
55. 現代啟示錄,8.4 (694K)
56. 記憶拼圖,8.4 (1.3M)
57. 決殺令,8.5 (1.6M)
58. 法櫃奇兵,8.4 (1M)
59. 瓦力,8.4 (1.2M)
60. 竊聽風暴,8.4 (402K)
61. 日落大道,8.4 (231K)
62. 光榮之路,8.4 (207K)
63. 復仇者聯盟：無限之戰,8.4 (1.2M)
64. 鬼店,8.4 (1.1M)
65. 大獨裁者,8.4 (233K)
66. 情婦,8.4 (133K)
67. 蜘蛛人：新宇宙,8.4 (635K)
68. 異形2,8.4 (746K)
69. 惡棍特工,8.4 (1.5M)
70. 黑暗騎士：黎明昇起,8.4 (1.8M)
71. 美國心玫瑰情,8.3 (1.2M)
72. 奇愛博士,8.4 (508K)
73. 原罪犯,8.4 (614K)
74. 可可夜總會,8.4 (559K)
75. 阿瑪迪斯,8.4 (419K)
76. 玩具總動員,8.3 (1M)
77. 從海底出擊,8.4 (260K)
78. 梅爾吉勃遜之英雄本色,8.3 (1.1M)
79. 復仇者聯盟：終局之戰,8.4 (1.2M)
80. 小丑,8.4 (1.4M)
81. 魔法公主,8.3 (418K)
82. 心靈捕手,8.3 (1M)
83. 四海兄弟,8.3 (368K)
84. 你的名字,8.4 (301K)
85. 三個傻瓜,8.4 (420K)
86. 天國與地獄,8.4 (50K)
87. 萬花嬉春,8.3 (254K)
88. 我想有個家,8.4 (100K)
89. 噩夢輓歌,8.3 (878K)
90. 玩具總動員3,8.3 (872K)
91. 見證,8.4 (91K)
92. 星際大戰六部曲：絕地大反攻,8.3 (1.1M)
93. 王牌冤家,8.3 (1M)
94. 2001：太空漫遊,8.3 (701K)
95. 謊言的烙印,8.3 (352K)
96. 霸道橫行,8.3 (1.1M)
97. 生之慾,8.3 (84K)
98. 阿拉伯的勞倫斯,8.3 (307K)
99. 大國民,8.3 (457K)
100. M就是兇手,8.3 (165K)
101. 公寓春光,8.3 (191K)
102. 北西北,8.3 (340K)
103. 迷魂記,8.3 (418K)
104. 雙重賠償,8.3 (164K)
105. 艾蜜莉的異想世界,8.3 (780K)
106. 疤面煞星,8.3 (889K)
107. 金甲部隊,8.3 (773K)
108. 發條橘子,8.3 (863K)
109. 烈火焚身,8.3 (190K)
110. 烈火悍將,8.3 (696K)
111. 天外奇蹟,8.3 (1.1M)
112. 漢密爾頓,8.3 (107K)
113. 梅崗城故事,8.3 (327K)
114. 刺激,8.3 (274K)
115. 分居風暴,8.3 (254K)
116. 聖戰奇兵,8.2 (794K)
117. 大都會,8.3 (181K)
118. 終極警探,8.2 (915K)
119. 心中的小星星,8.3 (202K)
